R,F,M,T,Class
23,2,500,26,no
23,8,2000,64,no
16,3,750,50,no
23,3,750,33,no
21,3,750,38,no
23,2,500,28,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,no
21,1,250,21,yes
21,1,250,21,no
21,1,250,21,no
21,5,1250,60,no
23,4,1000,45,no
21,4,1000,52,no
22,1,250,22,yes
11,2,500,70,no
23,5,1250,58,no
23,3,750,40,no
23,3,750,41,no
14,3,750,83,no
21,2,500,35,no
26,5,1250,49,yes
23,6,1500,70,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,4,1000,53,no
21,6,1500,86,no
23,3,750,48,no
21,2,500,41,no
21,3,750,64,no
16,2,500,70,no
21,3,750,70,no
23,4,1000,87,no
23,3,750,89,no
23,2,500,87,no
35,3,750,64,no
38,1,250,38,no
38,1,250,38,no
40,1,250,40,no
74,1,250,74,no
2,43,10750,86,yes
6,22,5500,28,yes
2,34,8500,77,yes
2,44,11000,98,no
0,26,6500,76,yes
2,41,10250,98,yes
3,21,5250,42,yes
2,11,2750,23,no
2,21,5250,52,yes
2,13,3250,32,yes
4,4,1000,4,yes
2,11,2750,26,no
2,11,2750,28,no
3,14,3500,35,no
4,16,4000,38,yes
4,6,1500,14,no
3,5,1250,12,yes
4,33,8250,98,yes
3,10,2500,33,yes
4,10,2500,28,yes
2,11,2750,40,yes
2,11,2750,41,yes
4,13,3250,39,yes
1,10,2500,43,yes
4,9,2250,28,no
2,4,1000,11,no
2,5,1250,16,yes
2,15,3750,64,no
5,24,6000,79,no
2,6,1500,22,yes
4,5,1250,16,yes
2,4,1000,14,yes
4,8,2000,28,no
2,4,1000,14,no
2,6,1500,26,no
4,5,1250,16,yes
2,7,1750,32,yes
2,6,1500,26,yes
2,8,2000,38,yes
2,2,500,4,yes
2,6,1500,28,yes
2,10,2500,52,no
4,16,4000,70,yes
4,2,500,4,yes
1,14,3500,95,no
4,2,500,4,yes
7,14,3500,48,no
2,3,750,11,no
2,12,3000,70,yes
4,7,1750,32,yes
4,4,1000,16,no
2,6,1500,35,yes
4,6,1500,28,yes
2,3,750,14,no
2,4,1000,23,no
4,4,1000,18,no
5,6,1500,28,no
4,6,1500,30,no
14,5,1250,14,no
3,8,2000,50,no
4,11,2750,64,yes
4,9,2250,52,no
4,16,4000,98,yes
7,10,2500,47,no
4,14,3500,86,no
2,9,2250,75,no
4,6,1500,35,no
4,9,2250,55,no
4,6,1500,35,yes
2,6,1500,45,no
2,6,1500,47,no
4,2,500,9,no
2,2,500,11,yes
2,2,500,11,no
2,2,500,11,yes
4,6,1500,38,yes
3,4,1000,29,yes
9,9,2250,38,no
11,5,1250,18,no
2,3,750,21,no
2,1,250,2,no
2,1,250,2,yes
2,1,250,2,no
2,1,250,2,no
2,1,250,2,no
2,1,250,2,no
2,1,250,2,yes
2,1,250,2,no
2,1,250,2,no
2,1,250,2,no
2,1,250,2,no
11,11,2750,38,no
2,3,750,22,no
9,11,2750,49,yes
5,11,2750,75,no
3,5,1250,38,no
3,1,250,3,yes
4,6,1500,43,no
2,3,750,24,no
12,11,2750,39,no
2,2,500,14,no
4,6,1500,46,no
9,3,750,14,no
14,8,2000,26,no
4,2,500,13,no
4,11,2750,95,no
2,7,1750,77,no
2,7,1750,77,no
4,1,250,4,no
4,1,250,4,no
4,1,250,4,no
4,1,250,4,no
4,1,250,4,yes
4,1,250,4,no
4,1,250,4,no
4,1,250,4,no
4,1,250,4,no
4,1,250,4,no
4,1,250,4,yes
4,1,250,4,no
4,7,1750,62,no
4,1,250,4,no
4,4,1000,34,yes
11,6,1500,28,no
13,3,750,14,yes
7,5,1250,35,no
9,9,2250,54,no
11,2,500,11,no
2,5,1250,63,no
7,11,2750,89,no
8,9,2250,64,no
2,2,500,22,no
6,3,750,26,no
12,15,3750,71,no
13,3,750,16,no
11,16,4000,89,no
4,5,1250,58,no
14,7,1750,35,no
11,4,1000,27,no
7,9,2250,89,yes
11,8,2000,52,yes
7,5,1250,52,no
11,6,1500,41,no
10,5,1250,38,no
14,2,500,14,yes
14,2,500,14,no
14,2,500,14,no
2,2,500,33,no
11,3,750,23,no
14,8,2000,46,no
9,1,250,9,no
16,5,1250,27,no
14,4,1000,26,no
4,2,500,30,no
14,3,750,21,no
16,16,4000,77,no
4,2,500,31,no
14,8,2000,50,no
11,3,750,26,no
14,7,1750,45,no
15,5,1250,33,no
16,2,500,16,no
16,3,750,21,no
11,8,2000,72,no
11,1,250,11,no
11,1,250,11,no
11,1,250,11,no
11,1,250,11,yes
11,1,250,11,no
2,3,750,75,yes
2,3,750,77,no
16,4,1000,28,no
16,15,3750,87,no
16,14,3500,83,no
16,10,2500,62,no
16,3,750,23,no
14,3,750,26,no
23,19,4750,62,no
11,7,1750,75,no
14,3,750,28,no
20,14,3500,69,yes
4,2,500,46,no
11,2,500,25,no
11,3,750,37,no
16,4,1000,33,no
21,7,1750,38,no
13,7,1750,76,no
16,6,1500,50,no
14,3,750,33,no
14,1,250,14,no
14,1,250,14,no
14,1,250,14,no
14,1,250,14,no
14,1,250,14,no
14,1,250,14,no
17,7,1750,58,yes
14,3,750,35,no
14,3,750,35,no
16,7,1750,64,no
21,2,500,21,no
16,3,750,35,no
16,1,250,16,no
16,1,250,16,no
16,1,250,16,no
16,1,250,16,no
16,1,250,16,no
14,2,500,29,no
11,4,1000,74,no
11,2,500,38,yes
21,6,1500,48,no
23,2,500,23,no
23,6,1500,45,no
14,2,500,35,yes
16,6,1500,81,no
16,4,1000,58,no
16,5,1250,71,no
21,2,500,26,no
21,3,750,35,no
21,3,750,35,no
23,8,2000,69,no
21,3,750,38,no
23,3,750,35,no
21,3,750,40,no
23,2,500,28,no
21,1,250,21,no
21,1,250,21,no
25,6,1500,50,no
21,1,250,21,no
21,1,250,21,no
23,3,750,39,no
21,2,500,33,no
14,3,750,79,no
23,1,250,23,yes
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,1,250,23,no
23,4,1000,52,no
23,1,250,23,no
23,7,1750,88,no
16,3,750,86,no
23,2,500,38,no
21,2,500,52,no
23,3,750,62,no
39,1,250,39,no
72,1,250,72,no
